Purpose,Sector,Instrument,Action,Price,Lots/grams,Total Spend,Action Date,Notes,Approach
Long Term Investing,Stock,KSIX,BUY,202,33,"Rp666,600.00",5 Aug 2025,KSIXKENTANIX SUPRA INTERNATIONAL TBKD,Deep Value
Long Term Investing,Stock,DPNS,BUY,244,206,"Rp5,026,400.00",5 Aug 2025,DPNSDUTA PERTIWI NUSANTARAD,Deep - Growth Value
Long Term Investing,Stock,PUDP,BUY,214,60,"Rp1,284,000.00",7 Aug 2025,PUDPPUDJIADI PRESTIGED,Deep Value
Long Term Investing,Stock,DIVA,BUY,107,121,"Rp1,294,700.00",8 Aug 2025,DIVADISTRIBUSI VOUCHER NUSANTARA TBKD,Deep Value
Long Term Investing,Stock,BAYU,BUY,1285,10,"Rp1,285,000.00",11 Aug 2025,BAYUBAYU BUANA TRAVEL SERVICED,Dividend - Growth Value
Long Term Investing,Stock,ASGR,BUY,1075,2,"Rp215,000.00",11 Aug 2025,ASGRASTRA GRAPHIA TBKD,Dividend - Growth Value
Long Term Investing,Stock,LPKR,BUY,89,23,"Rp204,700.00",11 Aug 2025,LPKRLIPPO KARAWACID,Deep Value
Long Term Investing,Stock,DPNS,SELL,252,249,"Rp6,274,800.00",25 Aug 2025,DPNSDUTA PERTIWI NUSANTARAD,
Long Term Investing,Stock,SPY,BUY,"Rp10,444,986",0.00094886447,"Rp991,087.61",2 Sep 2025,SPDR S&P 500 ETF,
Long Term Investing,Stock,ASGR,BUY,1245,8,"Rp996,000.00",15 Sep 2025,ASGRASTRA GRAPHIA TBKD,Dividend - Growth Value
Long Term Investing,Stock,BAYU,BUY,1285,8,"Rp1,028,000.00",15 Sep 2025,BAYUBAYU BUANA TRAVEL SERVICED,Dividend - Growth Value
Long Term Investing,Stock,DIVA,BUY,129,78,"Rp1,006,200.00",15 Sep 2025,DIVADISTRIBUSI VOUCHER NUSANTARA TBKD,Deep Value
Long Term Investing,Stock,INCI,BUY,595,17,"Rp1,011,500.00",15 Sep 2025,INCIINTAN WIJAYA INTERNATIONALD,Deep Value
Long Term Investing,Stock,KSIX,BUY,236,43,"Rp1,014,800.00",15 Sep 2025,KSIXKENTANIX SUPRA INTERNATIONAL TBKD,Deep Value
Long Term Investing,Stock,LPKR,BUY,104,97,"Rp1,008,800.00",15 Sep 2025,LPKRLIPPO KARAWACID,Deep Value
Long Term Investing,Stock,LPLI,BUY,316,32,"Rp1,011,200.00",15 Sep 2025,LPLISTAR PACIFIC TBKD,Deep Value
Long Term Investing,Stock,PUDP,BUY,230,44,"Rp1,012,000.00",15 Sep 2025,PUDPPUDJIADI PRESTIGED,Deep Value
Long Term Investing,Stock,SCCO,BUY,2290,4,"Rp916,000.00",15 Sep 2025,SCCOSUCACO(SUPREME CABLE MANUFACTURING)D,Deep Value
Long Term Investing,Stock,UCID,BUY,470,11,"Rp517,000.00",23 Sep 2025,UCIDPT Uni-Charm Indonesia TbkD,Deep - Growth Value
Long Term Investing,Stock,PUDP,SELL,383,104,"Rp3,974,640.00",24 Sep 2025,PUDPPUDJIADI PRESTIGED,
Long Term Investing,Stock,LPLI,SELL,605,115,"Rp6,937,323.00",25 Sep 2025,LPLISTAR PACIFIC TBKD,
Long Term Investing,Stock,DIVA,BUY,127,237,"Rp3,009,900.00",29 Sep 2025,DIVADISTRIBUSI VOUCHER NUSANTARA TBKD,Deep Value
Long Term Investing,Stock,INCI,BUY,615,32,"Rp1,968,000.00",29 Sep 2025,INCIINTAN WIJAYA INTERNATIONALD,Deep Value
Long Term Investing,Stock,SCCO,BUY,2320,4,"Rp928,000.00",29 Sep 2025,SCCOSUCACO(SUPREME CABLE MANUFACTURING)D,Deep Value
Long Term Investing,Stock,UCID,BUY,470,21,"Rp987,000.00",29 Sep 2025,UCIDPT Uni-Charm Indonesia TbkD,Deep - Growth Value
Long Term Investing,Stock,INTC,SELL,"Rp575,826",0.00100352409,"Rp57,785.54",29 Sep 2025,INTCIntel CorporationD,
Long Term Investing,Stock,DIVA,SELL,188,436,"Rp8,196,800.00",3 Oct 2025,DIVADISTRIBUSI VOUCHER NUSANTARA TBKD,
Long Term Investing,Stock,SPY,BUY,"Rp11,148,751",0.00093291962,"Rp1,040,088.85",3 Oct 2025,SPDR S&P 500 ETF,
Long Term Investing,Stock,TAPG,SELL,"1,820",4,"Rp728,000.00",6 Oct 2025,TAPGTRIPUTRA AGRO PERSADA TBKD,
